num_thread,execution_time,speedup
1,10.1564,1.0030227245874521
2,5.28332,1.9281625947321002
3,3.58283,2.8433110139191644
4,2.79715,3.6419569919382226
5,2.37227,4.294241380618564
6,2.09013,4.873907364613684
7,1.88194,5.413084370383753
8,1.7998,5.660128903211468
9,1.71277,5.947733787957519
10,1.61956,6.2900417397317785
11,9.9595,1.0228525528389978
12,10.7032,0.9517807758427385
13,10.3061,0.9884534401956122
14,12.6759,0.8036589117932453
15,13.5752,0.7504198833166361
16,15.3074,0.66550165279538
17,17.0638,0.5970006680809666
18,15.5344,0.6557768565248738
19,19.6172,0.5192942927634933
20,22.0342,0.46233128500240533
21,21.448,0.47496736292428193
22,23.6169,0.43134789070538465
23,24.9572,0.4081828089689548
24,24.9898,0.40765032133110307
25,25.7934,0.39494987089720623
26,26.1093,0.39017131826590523
27,25.4042,0.4010006219444029
28,28.6187,0.3559595648998731
29,28.7614,0.3541934676337035
30,33.0013,0.3086878395699563
31,33.207,0.3067756798265426
32,33.7019,0.30227079185446515
