num_thread,execution_time
1,5.80119
2,2.79394
3,2.13688
4,1.83026
5,1.60374
6,1.55192
7,1.46295
8,1.4132
9,1.57862
10,2.16545
11,5.93944
12,7.50026
13,7.80193
14,7.17444
15,4.61809
16,5.80404
17,5.28483
18,6.47901
19,5.62517
20,5.76424
21,5.58653
22,6.0441
23,6.4172
24,6.60108
25,7.65997
26,7.73907
27,9.22444
28,9.31752
29,10.3298
30,10.8734
31,11.1173
32,7.73451
