num_nodes,num_thread,execution-time,iterations,speedup
1,1,4.9602,963,1.0
1,2,3.2906,963,1.5073846714884824
1,4,1.9535,963,2.5391348861018685
1,8,1.2017,963,4.1276524923025715
1,16,0.5985,963,8.287719298245614
1,32,0.5362,963,9.250652741514362
2,32,0.6615,963,7.498412698412699
4,64,0.731,963,6.785499316005473
6,96,0.7279,963,6.814397582085452
