num_thread,execution-time,iterations
1,112.4927,2000
2,55.9256,2000
3,43.7156,2000
4,34.6400,2000
5,32.0435,2000
6,27.3794,2000
7,27.4220,2000
8,24.6737,2000
9,23.8462,2000
10,22.2036,2000
11,22.2200,2000
12,21.6058,2000
13,22.3518,2000
14,21.4918,2000
15,21.1859,2000
16,21.0057,2000
17,22.6931,2000
18,22.8510,2000
19,22.2389,2000
20,22.2042,2000
21,22.6305,2000
22,22.1560,2000
23,21.4364,2000
24,22.1329,2000
25,22.0224,2000
26,21.6752,2000
27,21.5528,2000
28,23.1080,2000
29,22.0055,2000
30,23.1170,2000
31,22.0107,2000
32,22.6066,2000
