num_thread,execution-time,iterations,speedup
1,4.9602,963,1.0
2,4.1303,963,1.20092971454858
3,2.5104,963,1.9758604206500956
4,2.0308,963,2.4424857199133347
5,1.6671,963,2.9753464099334175
6,1.5078,963,3.2896935933147633
7,1.3065,963,3.7965556831228477
8,1.2167,963,4.076765020136436
9,1.0283,963,4.823689584751532
10,1.1014,963,4.503540947884511
11,0.9769,963,5.077490019449279
12,0.9208,963,5.3868375325803655
13,0.8861,963,5.597788060038371
14,0.8629,963,5.748290647815506
15,0.8051,963,6.160973792075518
16,0.7964,963,6.2282772476142645
17,0.787,963,6.302668360864041
18,0.7777,963,6.378037803780379
19,0.7716,963,6.428460342146191
20,0.7665,963,6.47123287671233
21,0.7487,963,6.625083478028583
22,0.7623,963,6.5068870523415985
23,0.7503,963,6.6109556177529
24,0.7517,963,6.598643075695091
25,0.7448,963,6.659774436090226
26,0.7384,963,6.717497291440955
27,0.7396,963,6.706598161168199
28,0.7295,963,6.799451679232351
29,0.7251,963,6.840711625982624
30,0.716,963,6.927653631284917
31,0.7128,963,6.958754208754209
32,0.7028,963,7.057768924302789
