num_thread,execution-time,iterations
1,113.9260,2000
2,67.5508,2000
3,46.2054,2000
4,39.0759,2000
5,33.0236,2000
6,31.4958,2000
7,29.5592,2000
8,27.1561,2000
9,26.8595,2000
10,25.5510,2000
11,25.2660,2000
12,24.8216,2000
13,25.5162,2000
14,26.0448,2000
15,25.9838,2000
16,26.4479,2000
17,24.9627,2000
18,24.8826,2000
19,24.7819,2000
20,24.1633,2000
21,24.5810,2000
22,26.6814,2000
23,27.2698,2000
24,26.8287,2000
25,25.4377,2000
26,25.2786,2000
27,25.3061,2000
28,24.2762,2000
29,25.4702,2000
30,26.5521,2000
31,25.1211,2000
32,26.0016,2000
