num_nodes,num_thread,execution-time,iterations,speedup
1,1,113.926,2000,1.0
1,2,69.8606,2000,1.6307618314185677
1,4,45.8796,2000,2.4831515531957558
1,8,31.4292,2000,3.6248456849044834
1,16,16.7512,2000,6.801064998328478
1,32,16.3555,2000,6.965607899483355
2,32,11.6772,2000,9.756277189737267
4,64,9.3277,2000,12.21372900071829
6,96,8.1764,2000,13.933515972799766
