num_nodes,num_thread,execution-time,iterations
1,1,134.9082,2000
1,2,69.8606,2000
1,4,45.8796,2000
1,8,31.4292,2000
1,16,16.7512,2000
1,32,16.3555,2000
2,32,11.6772,2000
4,64,9.3277,2000
6,96,8.1764,2000
