num_nodes,num_thread,execution-time,iterations,speedup
1,1,51.791,1000,1.0
1,2,32.3916,1000,1.5989021845169735
1,4,20.6161,1000,2.5121628242005034
1,8,14.9766,1000,3.4581280130336656
1,16,7.906,1000,6.5508474576271185
1,32,7.8359,1000,6.609451371252823
2,32,5.2705,1000,9.826581918224077
4,64,4.098,1000,12.63811615422157
6,96,3.7318,1000,13.87828929739
