num_thread,execution-time,iterations,speedup
1,4.8718,963,1.0
2,2.2818,963,2.135068805329126
3,1.7436,963,2.794104152328516
4,1.3478,963,3.614631250927437
5,1.2036,963,4.0476902625456965
6,1.0394,963,4.687127188762748
7,0.9886,963,4.92797896014566
8,0.8681,963,5.61202626425527
9,0.7672,963,6.350104275286758
10,0.7159,963,6.805140382735019
11,0.6579,963,7.405076759385925
12,0.6166,963,7.9010703859876745
13,0.6089,963,8.000985383478405
14,0.5674,963,8.586182587240042
15,0.5556,963,8.768538516918648
16,0.5579,963,8.732389317081916
17,0.6238,963,7.809874959923053
18,0.6148,963,7.924202992843202
19,0.6198,963,7.860277508873831
20,0.6217,963,7.836255428663343
21,0.611,963,7.9734860883797065
22,0.5947,963,8.192029594753658
23,0.5722,963,8.514155889549109
24,0.5924,963,8.223835246455097
25,0.586,963,8.313651877133108
26,0.5777,963,8.433096763025793
27,0.5695,963,8.554521510096576
28,0.5561,963,8.760654558532638
29,0.5552,963,8.77485590778098
30,0.5405,963,9.013506012950971
31,0.5294,963,9.202493388741972
32,0.5313,963,9.169584039149257
