num_thread,execution-time,iterations
1,4.8608,963
2,2.2950,963
3,1.7828,963
4,1.3528,963
5,1.2049,963
6,1.0333,963
7,0.9741,963
8,0.8399,963
9,0.7963,963
10,0.6890,963
11,0.6824,963
12,0.6363,963
13,0.6126,963
14,0.5700,963
15,0.5482,963
16,0.6047,963
17,0.6251,963
18,0.6433,963
19,0.6105,963
20,0.5975,963
21,0.6012,963
22,0.6044,963
23,0.5981,963
24,0.5859,963
25,0.5811,963
26,0.5668,963
27,0.5641,963
28,0.5523,963
29,0.5504,963
30,0.5367,963
31,0.5283,963
32,0.5190,963
