num_nodes,num_thread,execution-time,iterations
1,1,50,1000
1,2,32.4991,1000
1,4,21.5267,1000
1,8,16.8619,1000
1,16,9.5203,1000
1,32,10.2767,1000
2,32,7.3072,1000
4,64,6.7449,1000
6,96,0,1000
